Fecha de Inscripción;Género;Distrito;Tramos de Edad;Nivel Educativo;Desempleada/o e inscrita/o como demandante de empleo en una ofic;Servicio demandado
abr-20;Mujer;Villaverde;Menor de 25 años;Estudios de Grado (Diplomado / Licenciado);No;Orientacion,Intermediacion
abr-20;Mujer;PuenteVallecas;Entre 26 y 35 años;FP Grado Medio;Si;Orientacion,Intermediacion,Autoempleo
abr-20;Mujer;Latina;Entre 46 y 55 años;Estudios de Grado (Diplomado / Licenciado);No;Orientacion
abr-20;Mujer;Villaverde;Entre 36 y 45 años;Bachillerato;Si;Intermediacion
abr-20;Mujer;;Menor de 25 años;Graduado Escolar;No;Intermediacion,Autoempleo
abr-20;Hombre;Barajas;Entre 46 y 55 años;FP Grado Superior;Si;Orientacion,Intermediacion,Autoempleo
abr-20;Mujer;Arganzuela;Entre 26 y 35 años;Sin Estudios;Si;Orientacion
abr-20;Mujer;;Entre 26 y 35 años;Sin Estudios;Si;Orientacion
abr-20;Mujer;;Entre 26 y 35 años;Sin Estudios;Si;Orientacion
abr-20;Mujer;CiudadLineal;Entre 26 y 35 años;Estudios de Grado (Diplomado / Licenciado);No;Orientacion,Intermediacion,Autoempleo
abr-20;Mujer;Villaverde;Entre 36 y 45 años;Estudios Postgrado;No;Intermediacion
abr-20;Hombre;Centro;Entre 46 y 55 años;Bachillerato;Si;Autoempleo
abr-20;Mujer;PuenteVallecas;Entre 26 y 35 años;Estudios Postgrado;Si;Orientacion,Intermediacion
abr-20;Hombre;;Entre 36 y 45 años;Bachillerato;No;Intermediacion
abr-20;Mujer;Usera;Menor de 25 años;Estudios de Grado (Diplomado / Licenciado);No;Orientacion
abr-20;Hombre;Usera;Entre 26 y 35 años;Bachillerato;No;Orientacion
abr-20;Hombre;;Menor de 25 años;ESO;Si;Orientacion,Intermediacion
abr-20;Mujer;Moratalaz;Entre 36 y 45 años;FP Grado Superior;Si;Orientacion
abr-20;Hombre;CiudadLineal;Entre 26 y 35 años;Bachillerato;Si;Orientacion,Intermediacion,Autoempleo
abr-20;Hombre;Vicalvaro;Entre 46 y 55 años;Graduado Escolar;Si;Autoempleo
abr-20;Mujer;Latina;Entre 46 y 55 años;Graduado Escolar;No;Orientacion
abr-20;Hombre;Villaverde;Entre 26 y 35 años;ESO;Si;Intermediacion
abr-20;Hombre;Vicalvaro;Entre 36 y 45 años;Bachillerato;No;Orientacion,Intermediacion,Autoempleo
abr-20;Mujer;PuenteVallecas;Entre 36 y 45 años;Graduado Escolar;No;Intermediacion
abr-20;Hombre;;Entre 26 y 35 años;FP Grado Superior;No;Orientacion,Intermediacion,Autoempleo
abr-20;Hombre;Centro;Menor de 25 años;Bachillerato;Si;Orientacion,Intermediacion,Autoempleo
abr-20;Mujer;Usera;Entre 26 y 35 años;Estudios de Grado (Diplomado / Licenciado);Si;Autoempleo
